"","PCTKEY","DISTRICT_N","intesecting"
"1","10001","1907",0.980022864544908
"2","10001","1903",0.0199771354547673
"3","10002","113902",0
"4","10002","145907",0
"5","10002","1909",0.00998159263478888
"6","10002","1903",0.99001840736426
"7","10003","1909",0.199540441662422
"8","10003","1907",0.329347671422676
"9","10003","1903",0.471111886914114
"10","10004","37907",0
"11","10004","113902",0
"12","10004","1909",0.745749565297183
"13","10004","1907",0.00335860469284992
"14","10004","1903",0.250891830009267
"15","10005","37907",0
"16","10005","113902",0
"17","10005","1909",1.00000000000001
"18","10005","37901",0
"19","10006","1908",0
"20","10006","1907",0.997786303357023
"21","10006","1903",0.00221369664261785
"22","10007","1908",0.231054020610713
"23","10007","1907",0.768945979389429
"24","10008","1907",1.0000000000008
"25","10009","145907",1.26552642672546e-11
"26","10009","1908",0.677304565109898
"27","10009","1907",0.0263350867558462
"28","10009","1903",0.296360348119776
"29","10010","145907",0
"30","10010","81902",0
"31","10010","1908",0.769811415140344
"32","10010","1907",0.106643379427071
"33","10010","1902",0.12354520543299
"34","10011","81902",0
"35","10011","1908",0.000921369205645756
"36","10011","1907",0.26338647704938
"37","10011","1902",0.735692153746019
"38","10013","1907",0.999999999999794
"39","10015","37907",0
"40","10015","1909",0.555836338907205
"41","10015","1907",0.444163661090093
"42","10015","37904",0
"43","10016","1909",0.00895229988695827
"44","10016","1907",0.218980631698065
"45","10016","1906",0.772067068411702
"46","10016","37904",0
"47","10017","1907",0.956908159387085
"48","10017","1906",0.043091840613866
"49","10018","1906",0.253525075566664
"50","10018","107910",0.158364455762313
"51","10018","212902",0
"52","10018","1904",0.588110468671274
"53","10018","37904",0
"54","10019","1908",0.991892661843288
"55","10019","1907",0.0081073381532328
"56","10020","1907",1.00000000000037
"57","10021","1908",0.468063737957503
"58","10021","1907",0.531936262038957
"59","10022","1907",0.995577487829986
"60","10022","1902",0.00442251216672595
"61","10023","1907",0.22077182008266
"62","10023","1906",0.135473154970666
"63","10023","107910",0.307157128200163
"64","10023","1902",0.126878078869786
"65","10023","107901",0.012249098936766
"66","10023","1904",0.197470718940054
"67","10024","81902",0
"68","10024","107904",0
"69","10024","1907",0.00254575231624666
"70","10024","1902",0.995313007623846
"71","10024","107901",0.00214124006007346
"72","1010101","173901",0
"73","1010101","51901",1.00000000000119
"74","1010102","96904",0
"75","1010102","173901",0
"76","1010102","38901",0.0861389544131948
"77","1010102","51901",0.913861045586421
"78","1010201","63906",0
"79","1010201","173901",0
"80","1010201","135001",0
"81","1010201","51901",1.00000000000058
"82","1010301","78901",0
"83","1010301","99903",0.0340362499812936
"84","1010301","38901",0.284104875427979
"85","1010301","51901",0.681858874590528
"86","1010401","78901",0
"87","1010401","135001",0
"88","1010401","51901",0.99999999999939
"89","1030001","231901",0
"90","1030001","53001",0
"91","1030001","52901",1.00000000000086
"92","1030001","186903",0
"93","1030001","186901",0
"94","1030002","52901",1.00000000000018
"95","1030003","238902",0
"96","1030003","238904",0
"97","1030003","52901",0.999999999999839
"98","1030003","186901",0
"99","1030003","68901",0
"100","1030004","231902",1.28438326810732e-12
"101","1030004","231901",4.7568618418241e-12
"102","1030004","52901",0.999999999995063
"103","1030004","68901",0
"104","1050001","53001",0.999999999999754
"105","1050001","218901",0
"106","1050001","233903",0
"107","1050002","53001",0.999999999999673
"108","1050002","218901",0
"109","1050002","192901",0
"110","1050002","207901",0
"111","1050002","118902",0
"112","1050003","231902",3.83367576652198e-12
"113","1050003","231901",1.46080042586402e-12
"114","1050003","53001",0.99999999999562
"115","1050003","52901",0
"116","1050003","192901",0
"117","1050003","186903",0
"118","1050004","222901",0
"119","1050004","53001",1.00000000000265
"120","1050004","233903",0
"121","1050004","186903",0
"122","1070011","77901",0
"123","1070011","54903",0.80602604889762
"124","1070011","54901",0.126120438163302
"125","1070011","54902",0.0678535129382452
"126","1070027","63903",0
"127","1070027","85902",0
"128","1070027","173901",0
"129","1070027","77901",0
"130","1070027","54903",0.0113881689077644
"131","1070027","54901",0.988611831092628
"132","1070039","77901",0
"133","1070039","54903",0.252208320599337
"134","1070039","95904",0.0291682318098481
"135","1070039","152903",0
"136","1070039","85903",0
"137","1070039","152908",0
"138","1070039","54902",0.718623447590427
"139","1070044","85902",0
"140","1070044","54903",0.613113947985371
"141","1070044","54901",0.319293484473546
"142","1070044","85903",0
"143","1070044","54902",0.0675925675420738
"144","1090001","55901",0.999999999998507
"145","1090001","122902",0
"146","1090002","55901",1.00000000000148
"147","1090004","195901",2.05873959941993e-12
"148","1090004","195902",5.82454165154135e-13
"149","1090004","55901",0.999999999999125
"150","1090004","122902",0
"151","1090004","122901",0
"152","10903-3","195901",0
"153","10903-3","115903",0
"154","10903-3","55901",1.00000000000088
"155","10903-5","55901",1.00000000000011
"156","110101","33902",0
"157","110101","6902",1.00000000000183
"158","110201","6902",1.00000000000024
"159","110202","23902",0
"160","110202","33902",0
"161","110202","6902",0.755223133850373
"162","110202","33901",0.0498895507033753
"163","110202","65901",0.194887315446087
"164","110301","23902",0
"165","110301","6902",1.00000000000018
"166","110301","219901",0
"167","110303","23902",0
"168","110303","6902",0.940829004624235
"169","110303","219901",0.0591709953761964
"170","110401","6902",1.00000000000163
"171","110402","33902",0
"172","110402","191901",0
"173","110402","188903",0
"174","110402","6902",0.999999999998388
"175","110404","191901",0
"176","110404","6902",1.00000000000378
"177","110404","219901",0
"178","1110001","103901",2.74244534058834e-12
"179","1110001","56901",0.0113103328714163
"180","1110001","56902",0.988689667125788
"181","1110002","171901",0
"182","1110002","103902",0
"183","1110002","56901",0.33817474147131
"184","1110002","211902",0.661825258529596
"185","1110003","56901",0.405551376524741
"186","1110003","56902",0.590313929146105
"187","1110003","211902",0.00413469432930754
"188","1110004","56901",0.370608409982811
"189","1110004","56902",0.62939159001742
"190","1110005","56901",0
"191","1110005","56902",0
"192","1110005","211902",0.999999999999694
"193","1110006","56901",0.688415494500129
"194","1110006","56902",0.31158450550189
"195","1110007","56901",0.999999999999135
"196","1110008","56901",0.999999999996886
"197","1110009","56901",1.00000000000179
"198","1131000","57905",1.00000000000048
"199","1131001","57905",1.00000000000055
"200","1131002","57905",1.00000000000079
"201","1131003","57916",1.00000000000022
"202","1131004","57916",0.99999999999953
"203","1131005","57916",0.999999999998579
"204","1131005","57905",0
"205","1131006","57916",1.00000000000415
"206","1131007","57916",0.999999999999115
"207","1131007","57905",0
"208","1131008","57916",0.0429451722195027
"209","1131008","57905",0.957054827778646
"210","1131009","57916",0
"211","1131009","57905",0.999999999999646
"212","1131010","57905",0.999999999999618
"213","1131011","57916",0
"214","1131011","57905",1.00000000000545
"215","1131012","57905",0.999999999999809
"216","1131013","57905",0.999999999999154
"217","1131014","57905",0.999999999999302
"218","1131015","57905",1.00000000000048
"219","1131016","57905",1.00000000000024
"220","1131017","57905",0.999999999999491
"221","1131018","57905",1.00000000000055
"222","1131019","57905",0.999999999998788
"223","1131020","57911",0
"224","1131020","57905",0.999999999999874
"225","1131021","57911",0.00387855411108711
"226","1131021","57905",0.996121445889239
"227","1131022","57911",0.000352055649072173
"228","1131022","57905",0.999647944350165
"229","1131023","57905",1.00000000000049
"230","1131026","57916",1.00000000000179
"231","1131027","57916",0.996067358757745
"232","1131027","57909",0.00393264124416225
"233","1131028","57916",1.00000000000002
"234","1131029","57916",1.00000000000114
"235","1131030","57916",1.00000000000036
"236","1131032","57916",1.00000000000022
"237","1131033","57916",1.00000000000114
"238","1131035","57916",0.99999999999792
"239","1131036","57916",0.999999999999949
"240","1131037","57916",1.00000000000022
"241","1131038","57916",0.85413505865571
"242","1131038","57909",0.144904820617182
"243","1131038","57905",0.000960120727097502
"244","1131039","57916",1
"245","1131040","57916",1.00000000000315
"246","1131041","57916",1.00000000000013
"247","1131042","57916",0.999999999999431
"248","1131043","57916",1.00000000000159
"249","1131044","57916",1.00000000000156
"250","1131045","57916",0
"251","1131045","57909",0
"252","1131045","57905",1.00000000000001
"253","1131046","57905",0.999999999999031
"254","1131047","57905",0.999999999999036
"255","1131048","57916",0
"256","1131048","57905",0.999999999998069
"257","1131049","57916",0.848028467322987
"258","1131049","57905",0.151971532676323
"259","1131050","57905",1.0000000000004
"260","1131051","57905",0.9999999999996
"261","1131052","57905",0.999999999999445
