,CNTY,COLOR_left,PREC,PCTKEY,cntykey,Shape_area_left,Shape_len_left,index_right,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR_right,Shape_area_right,Shape_len_right,percentInSchool
0,439,6,1611,4391611,220,35744.7975703,958.348333257,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.006595220251823569
984,439,5,1366,4391366,220,673528.495103,6170.15383551,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.09003709650003856
992,439,7,1578,4391578,220,7274190.59628,12854.551654,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
995,439,3,1427,4391427,220,302849.446643,2363.72184151,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.05587830788072767
996,439,7,1576,4391576,220,201156.818322,3354.42026158,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.03711514995697287
997,439,1,2474,4392474,220,8917767.26666,20921.7823994,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.12644205930477947
1002,439,5,4245,4394245,220,4763538.3688,10494.5133311,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.8789134882854907
1004,439,7,4573,4394573,220,628636.171254,4821.05392191,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.11598873932816113
1005,439,1,4615,4394615,220,154189.358844,1600.52579176,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.028449252791903756
1006,439,2,4640,4394640,220,449195.036272,3790.39229897,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.08288031830195287
1514,439,2,1075,4391075,220,2165770.70076,7118.20829275,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3996031802534843
1771,439,7,1608,4391608,220,655928.107368,3604.59939816,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.12102433449187626
1772,439,2,1455,4391455,220,29511.330497,1028.04007832,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.005445092371049601
1773,439,1,4312,4394312,220,86413.5476236,1437.08395194,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.01594403712036958
1774,439,1,1444,4391444,220,330843.857607,4131.58288564,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.06104351565012368
