"","NEW","PTY","VOTES","TTL_VOTES","percent"
"1",1,"D",658539,889926,0.73999298818104
"2",2,"C",190251,364897,0.521382746364042
"3",3,"R",160339,218760,0.732944779667215
"4",4,"C",682377,1240429,0.55011371065978
"5",5,"R",233282,329826,0.70728808523282
"6",6,"R",468660,637560,0.735083756822887
"7",7,"R",754680,975519,0.773618965904303
"8",8,"R",179007,203773,0.878462799291368
"9",9,"R",129442,143900,0.89952744961779
"10",10,"R",504969,737335,0.684856951046675
"11",11,"R",365745,529108,0.691248289574151
"12",12,"R",521856,775833,0.672639601563739
"13",13,"C",597693,1116750,0.535207521826729
"14",14,"R",145946,164738,0.885927958333839
"15",15,"R",146393,182966,0.800110403025699
"16",16,"R",234330,261014,0.897767935819535
"17",17,"R",218300,253322,0.861749078248237
"18",18,"R",196758,251585,0.782073653039728
"19",19,"D",426325,500911,0.851099297080719
"20",20,"C",431193,804471,0.535995704009218
"21",21,"C",763200,1282580,0.595050601132093
"22",22,"R",229631,289064,0.794395012869122
"23",23,"R",516840,853277,0.605711861447103
"24",24,"R",113630,157153,0.723053330194142
"25",25,"C",225626,436432,0.516978590020897
"26",26,"D",834981,1265910,0.659589544280399
"27",27,"C",645711,1189995,0.542616565615822
"28",28,"R",27980,30620,0.913781841933377
"29",29,"R",642387,1043043,0.615877773016069
"30",30,"C",102102,192000,0.53178125
"31",31,"C",507630,874215,0.580669514936257
"32",32,"C",758520,1421844,0.533476246339261
"33",33,"R",702129,1024053,0.685637364472347
"34",34,"R",3792,5154,0.735739231664726
"35",35,"R",448644,666472,0.673162563468533
"36",36,"C",740205,1462107,0.506259117834741
