"","PTY","NEW","VOTES"
"1","D",1,658539
"2","I",1,25146
"3","R",1,206241
"4","D",2,173458
"5","I",2,1188
"6","R",2,190251
"7","D",3,57539
"8","I",3,882
"9","R",3,160339
"10","D",4,500522
"11","I",4,57530
"12","R",4,682377
"13","D",5,85093
"14","I",5,11451
"15","R",5,233282
"16","D",6,148847
"17","I",6,20053
"18","R",6,468660
"19","D",7,187055
"20","I",7,33784
"21","R",7,754680
"22","D",8,12
"23","I",8,24754
"24","R",8,179007
"25","D",9,111
"26","I",9,14347
"27","R",9,129442
"28","D",10,192903
"29","I",10,39463
"30","R",10,504969
"31","D",11,138906
"32","I",11,24457
"33","R",11,365745
"34","D",12,228561
"35","I",12,25416
"36","R",12,521856
"37","D",13,458967
"38","I",13,60090
"39","R",13,597693
"40","D",14,0
"41","I",14,18792
"42","R",14,145946
"43","D",15,22011
"44","I",15,14562
"45","R",15,146393
"46","I",16,26684
"47","R",16,234330
"48","I",17,35022
"49","R",17,218300
"50","D",18,30705
"51","I",18,24122
"52","R",18,196758
"53","D",19,426325
"54","I",19,64080
"55","R",19,10506
"56","D",20,431193
"57","I",20,114096
"58","R",20,259182
"59","D",21,497519
"60","I",21,21861
"61","R",21,763200
"62","D",22,198
"63","I",22,59235
"64","R",22,229631
"65","D",23,305322
"66","I",23,31115
"67","R",23,516840
"68","D",24,33951
"69","I",24,9572
"70","R",24,113630
"71","D",25,225626
"72","I",25,0
"73","R",25,210806
"74","D",26,834981
"75","I",26,23523
"76","R",26,407406
"77","D",27,645711
"78","I",27,68076
"79","R",27,476208
"80","D",28,0
"81","I",28,2640
"82","R",28,27980
"83","D",29,256080
"84","I",29,144576
"85","R",29,642387
"86","D",30,81585
"87","I",30,8313
"88","R",30,102102
"89","D",31,340767
"90","I",31,25818
"91","R",31,507630
"92","D",32,758520
"93","I",32,87495
"94","R",32,575829
"95","D",33,280869
"96","I",33,41055
"97","R",33,702129
"98","D",34,1233
"99","I",34,129
"100","R",34,3792
"101","D",35,202252
"102","I",35,15576
"103","R",35,448644
"104","D",36,740205
"105","I",36,129755
"106","R",36,592147
