"","PTY","DISTRICT_N","VOTES"
"1","D",1902,0
"2","I",1902,94
"3","R",1902,1083
"4","D",1903,22
"5","I",1903,221
"6","R",1903,2069
"7","I",1904,146
"8","R",1904,1415
"9","I",1906,86
"10","R",1906,714
"11","I",1907,975
"12","R",1907,4992
"13","D",1908,0
"14","I",1908,331
"15","R",1908,2151
"16","D",1909,0
"17","I",1909,122
"18","R",1909,1233
"19","D",2901,0
"20","I",2901,383
"21","R",2901,4143
"22","D",3902,501
"23","I",3902,66
"24","R",3902,2619
"25","D",3903,4547
"26","I",3903,260
"27","R",3903,9378
"28","D",3904,341
"29","I",3904,52
"30","R",3904,3139
"31","D",3905,688
"32","I",3905,51
"33","R",3905,1657
"34","D",3906,137
"35","I",3906,18
"36","R",3906,972
"37","D",3907,535
"38","I",3907,72
"39","R",3907,2924
"40","D",4901,2221
"41","R",4901,6915
"42","I",5901,91
"43","R",5901,1298
"44","I",5902,146
"45","R",5902,1785
"46","I",5904,18
"47","R",5904,393
"48","I",6902,87
"49","R",6902,813
"50","D",7901,395
"51","I",7901,15
"52","R",7901,330
"53","D",7902,1172
"54","I",7902,46
"55","R",7902,1450
"56","D",7904,790
"57","I",7904,48
"58","R",7904,1078
"59","D",7905,2237
"60","I",7905,93
"61","R",7905,2908
"62","D",7906,1358
"63","I",7906,49
"64","R",7906,1061
"65","D",8901,784
"66","I",8901,143
"67","R",8901,5212
"68","D",8902,978
"69","I",8902,133
"70","R",8902,4053
"71","D",8903,345
"72","I",8903,15
"73","R",8903,1156
"74","I",9901,67
"75","R",9901,1048
"76","D",10901,217
"77","I",10901,95
"78","R",10901,1345
"79","D",10902,1262
"80","I",10902,441
"81","R",10902,6494
"82","D",11901,6468
"83","I",11901,457
"84","R",11901,10209
"85","D",11902,2585
"86","I",11902,307
"87","R",11902,3185
"88","D",11904,1494
"89","I",11904,129
"90","R",11904,3363
"91","D",11905,190
"92","I",11905,42
"93","R",11905,454
"94","I",12901,96
"95","R",12901,1270
"96","D",13901,2585
"97","I",13901,0
"98","R",13901,2618
"99","D",13902,131
"100","I",13902,4
"101","R",13902,333
"102","D",13903,352
"103","I",13903,4
"104","R",13903,868
"105","D",13905,650
"106","I",13905,0
"107","R",13905,971
"108","D",14901,426
"109","I",14901,96
"110","R",14901,1853
"111","D",14902,228
"112","I",14902,31
"113","R",14902,652
"114","D",14903,4132
"115","I",14903,868
"116","R",14903,14308
"117","D",14905,173
"118","I",14905,50
"119","R",14905,974
"120","D",14906,21750
"121","I",14906,1891
"122","R",14906,21398
"123","D",14907,222
"124","I",14907,64
"125","R",14907,1314
"126","D",14908,637
"127","I",14908,160
"128","R",14908,3043
"129","D",14909,5104
"130","I",14909,619
"131","R",14909,8960
"132","D",14910,691
"133","I",14910,140
"134","R",14910,2681
"135","D",15901,5443
"136","I",15901,757
"137","R",15901,8551
"138","D",15904,10607
"139","I",15904,946
"140","R",15904,1332
"141","D",15905,9847
"142","I",15905,704
"143","R",15905,19
"144","D",15906,84
"145","I",15906,20
"146","R",15906,201
"147","D",15907,57315
"148","I",15907,4927
"149","R",15907,10206
"150","D",15908,7966
"151","I",15908,830
"152","R",15908,647
"153","D",15909,1565
"154","I",15909,186
"155","R",15909,1499
"156","D",15910,63931
"157","I",15910,9688
"158","R",15910,81686
"159","D",15911,7964
"160","I",15911,659
"161","R",15911,7486
"162","D",15912,6843
"163","I",15912,976
"164","R",15912,2819
"165","D",15913,116
"166","I",15913,85
"167","R",15913,32
"168","D",15914,340
"169","I",15914,77
"170","R",15914,406
"171","D",15915,114485
"172","I",15915,33319
"173","R",15915,25108
"174","D",15916,21933
"175","I",15916,1506
"176","R",15916,16365
"177","D",15917,3009
"178","I",15917,330
"179","R",15917,2110
"180","D",16901,800
"181","I",16901,169
"182","R",16901,2483
"183","D",16902,981
"184","I",16902,285
"185","R",16902,3756
"186","I",17901,14
"187","R",17901,338
"188","D",18901,399
"189","I",18901,54
"190","R",18901,1953
"191","D",18902,199
"192","I",18902,29
"193","R",18902,1034
"194","D",18903,58
"195","I",18903,6
"196","R",18903,277
"197","D",18904,277
"198","I",18904,41
"199","R",18904,1495
"200","D",18905,92
"201","I",18905,9
"202","R",18905,347
"203","D",18906,79
"204","I",18906,12
"205","R",18906,470
"206","D",18907,176
"207","I",18907,18
"208","R",18907,732
"209","D",18908,85
"210","I",18908,10
"211","R",18908,486
"212","I",19901,158
"213","R",19901,1671
"214","I",19902,231
"215","R",19902,1862
"216","I",19903,38
"217","R",19903,430
"218","I",19905,266
"219","R",19905,1971
"220","I",19906,183
"221","R",19906,2078
"222","I",19907,1742
