"","CNTY","PREC","PCTKEY","cntykey","SDLEA10","NAME","NAME2","DISTRICT_N","NCES_DISTR"
"5297","145","0105","1450105",73,"13920","Chilton ISD","Chilton","73901","4813920"
"5301","145","0301","1450301",73,"13920","Chilton ISD","Chilton","73901","4813920"
"5302","145","0302","1450302",73,"13920","Chilton ISD","Chilton","73901","4813920"
"5304","145","0404","1450404",73,"13920","Chilton ISD","Chilton","73901","4813920"
"7004","145","0405","1450405",73,"13920","Chilton ISD","Chilton","73901","4813920"
"7005","145","0104","1450104",73,"13920","Chilton ISD","Chilton","73901","4813920"
"7006","145","0403","1450403",73,"13920","Chilton ISD","Chilton","73901","4813920"
"8302","309","0074","3090074",155,"13920","Chilton ISD","Chilton","73901","4813920"
"2761","331","0210","3310210",166,"11250","Bremond ISD","Bremond","198901","4811250"
"4386","395","0004","3950004",198,"11250","Bremond ISD","Bremond","198901","4811250"
"5300","145","0201","1450201",73,"11250","Bremond ISD","Bremond","198901","4811250"
"6254","293","0103","2930103",147,"11250","Bremond ISD","Bremond","198901","4811250"
"6381","395","0001","3950001",198,"11250","Bremond ISD","Bremond","198901","4811250"
"6382","395","0005","3950005",198,"11250","Bremond ISD","Bremond","198901","4811250"
"323","87","0302","870302",44,"30180","Memphis ISD","Memphis","96904","4830180"
"327","87","0101","870101",44,"30180","Memphis ISD","Memphis","96904","4830180"
"568","129","0303","1290303",65,"30180","Memphis ISD","Memphis","96904","4830180"
"1453","129","0201","1290201",65,"30180","Memphis ISD","Memphis","96904","4830180"
"2325","75","0101","750101",38,"30180","Memphis ISD","Memphis","96904","4830180"
"2410","191","0402","1910402",96,"30180","Memphis ISD","Memphis","96904","4830180"
"2411","191","0301","1910301",96,"30180","Memphis ISD","Memphis","96904","4830180"
"3039","45","0002","450002",23,"30180","Memphis ISD","Memphis","96904","4830180"
"3104","101","0102","1010102",51,"30180","Memphis ISD","Memphis","96904","4830180"
"3520","345","0003","3450003",173,"30180","Memphis ISD","Memphis","96904","4830180"
"5411","191","0101","1910101",96,"30180","Memphis ISD","Memphis","96904","4830180"
"6038","75","0401","750401",38,"30180","Memphis ISD","Memphis","96904","4830180"
"7092","191","0202","1910202",96,"30180","Memphis ISD","Memphis","96904","4830180"
"7093","191","0201","1910201",96,"30180","Memphis ISD","Memphis","96904","4830180"
"7094","191","0302","1910302",96,"30180","Memphis ISD","Memphis","96904","4830180"
"7095","191","0401","1910401",96,"30180","Memphis ISD","Memphis","96904","4830180"
"1442","125","0001","1250001",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"1443","125","0002","1250002",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"1444","125","0006","1250006",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"1445","125","0003","1250003",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"2852","269","0001","2690001",135,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"3107","101","0201","1010201",51,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"3522","345","0004","3450004",173,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"5747","125","0005","1250005",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"8588","269","0004","2690004",135,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"1442.1","125","0001","1250001",63,"00002","Spur ISD","Spur","63903","4800002"
"1443.1","125","0002","1250002",63,"00002","Spur ISD","Spur","63903","4800002"
"1444.1","125","0006","1250006",63,"00002","Spur ISD","Spur","63903","4800002"
"1445.1","125","0003","1250003",63,"00002","Spur ISD","Spur","63903","4800002"
"1466","153","0023","1530023",77,"00002","Spur ISD","Spur","63903","4800002"
"3110","107","0027","1070027",54,"00002","Spur ISD","Spur","63903","4800002"
"3522.1","345","0004","3450004",173,"00002","Spur ISD","Spur","63903","4800002"
"5747.1","125","0005","1250005",63,"00002","Spur ISD","Spur","63903","4800002"
"5748","125","0004","1250004",63,"00002","Spur ISD","Spur","63903","4800002"
"7032","169","0003","1690003",85,"00002","Spur ISD","Spur","63903","4800002"
"8534","263","0202","2630202",132,"00002","Spur ISD","Spur","63903","4800002"
"8568","433","0003","4330003",217,"00002","Spur ISD","Spur","63903","4800002"
"8588.1","269","0004","2690004",135,"00002","Spur ISD","Spur","63903","4800002"
"1490","181","0302","1810302",91,"40080","Sherman ISD","Sherman","91906","4840080"
"1500","181","0210","1810210",91,"40080","Sherman ISD","Sherman","91906","4840080"
"3660","181","0301","1810301",91,"40080","Sherman ISD","Sherman","91906","4840080"
"3661","181","0405","1810405",91,"40080","Sherman ISD","Sherman","91906","4840080"
"3662","181","0205","1810205",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4808","181","0304","1810304",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4809","181","0108","1810108",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4810","181","0303","1810303",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4812","181","0409","1810409",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4817","181","0404","1810404",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4818","181","0407","1810407",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7045","181","0103","1810103",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7046","181","0102","1810102",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7047","181","0104","1810104",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7048","181","0209","1810209",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7792","181","0408","1810408",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7941","181","0101","1810101",91,"40080","Sherman ISD","Sherman","91906","4840080"
"1490.1","181","0302","1810302",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"1495","181","0406","1810406",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"1496","181","0306","1810306",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"1497","181","0309","1810309",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"2397","181","0307","1810307",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4808.1","181","0304","1810304",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4809.1","181","0108","1810108",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4810.1","181","0303","1810303",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4811","181","0305","1810305",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4812.1","181","0409","1810409",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4817.1","181","0404","1810404",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"7792.1","181","0408","1810408",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"1494","181","0206","1810206",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"1495.1","181","0406","1810406",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4811.1","181","0305","1810305",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4815","181","0403","1810403",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4816","181","0402","1810402",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4817.2","181","0404","1810404",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4818.1","181","0407","1810407",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"7792.2","181","0408","1810408",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"7794","181","0204","1810204",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"575","139","0145","1390145",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"578","139","0111","1390111",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
