"","precinct","party","votes"
"1","1030001","D",72
"2","1030002","D",68
"3","1030003","D",110
"4","1030004","D",63
"5","1050001","D",119
"6","1050002","D",112
"7","1050003","D",105
"8","1050004","D",126
"9","1090001","D",100
"10","1090002","D",133
"11","1090004","D",109
"12","10903-3","D",10
"13","10903-5","D",121
"14","1131062","D",13
"15","1131063","D",541
"16","1131064","D",57
"17","1131065A","D",1000
"18","1131065B","D",0
"19","1131065C","D",0
"20","1131067","D",3
"21","1131069","D",24
"22","1131074","D",531
"23","1131075A","D",709
"24","1131075B","D",0
"25","1131076","D",774
"26","1131078","D",495
"27","1131079","D",644
"28","1131080","D",302
"29","1131081","D",1122
"30","1131082","D",85
"31","1131083","D",622
"32","1131084","D",1531
"33","1131085","D",454
"34","1131086","D",153
"35","1131087A","D",1468
"36","1131087B","D",0
"37","1131087C","D",0
"38","1131087D","D",0
"39","1131088","D",671
"40","1131089","D",857
"41","1131090","D",905
"42","1131091","D",768
"43","1131092","D",1275
"44","1131093","D",676
"45","1131094","D",561
"46","1131095","D",567
"47","1131096","D",513
"48","1131097","D",962
"49","1131098","D",850
"50","1131099","D",25
"51","1131100","D",1223
"52","1131101","D",575
"53","1131102","D",649
"54","1131103","D",176
"55","1131104","D",997
"56","1131105","D",11
"57","1131106","D",91
"58","1131107","D",264
"59","1131108","D",1000
"60","1131109","D",145
"61","1131111","D",470
"62","1131112","D",191
"63","1131113","D",117
"64","1131114","D",288
"65","1131116","D",478
"66","1131118","D",575
"67","1131119","D",818
"68","1131122","D",118
"69","1131124","D",1
"70","1131130","D",449
"71","1131132","D",18
"72","1131134","D",178
"73","1131135","D",634
"74","1131140","D",0
"75","1131141A","D",0
"76","1131141B","D",0
"77","1132000","D",0
"78","1132001","D",7
"79","1132002","D",392
"80","1132003","D",711
"81","1132004","D",516
"82","1132005","D",298
"83","1132006","D",394
"84","1132009","D",616
"85","1132010","D",416
"86","1132012","D",499
"87","1132015","D",316
"88","1132028A","D",0
"89","1132028B","D",0
"90","1132041","D",963
"91","1132048","D",1093
"92","1132053","D",845
"93","1132054","D",928
"94","1132055","D",485
"95","1132074","D",153
"96","1132076","D",1
"97","1132078","D",0
"98","1132079","D",687
"99","1132300","D",387
"100","1132301","D",538
"101","1132302","D",552
"102","1132303","D",637
"103","1132305","D",1012
"104","1132306","D",356
"105","1132307","D",197
"106","1132308","D",15
"107","1132309","D",259
"108","1132310","D",558
"109","1132311","D",141
"110","1132312","D",21
"111","1132400","D",27
"112","1132401","D",919
"113","1132402","D",944
"114","1132403","D",0
"115","1132404","D",583
"116","1132405","D",898
"117","1132406","D",966
"118","1132407","D",1044
"119","1132408","D",418
"120","1132409","D",691
"121","1132410","D",540
"122","1132411","D",201
"123","1132601","D",725
"124","1132602","D",1095
"125","1132603","D",1129
"126","1132604","D",977
"127","1132605","D",918
"128","1132606","D",0
"129","1132800","D",1
"130","1132801","D",668
"131","1132802","D",868
"132","1132803","D",202
"133","1132804","D",546
"134","1132805","D",959
"135","1132806","D",570
"136","1132807A","D",561
"137","1132807B","D",0
"138","1132808","D",651
"139","1132809","D",843
"140","1132810A","D",5
"141","1132810B","D",0
"142","1132900","D",760
"143","1132901","D",450
