precinct,R,D,I
1850001,989,161,11
1850002,413,49,6
1850003,161,414,13
1850004,627,124,8
1850005,620,179,8
1850006,643,312,14
1850007,473,101,8
1850008,234,51,4
1850009,186,39,3
1850010,759,104,19
1850011,136,15,6
1850012,386,118,8
1850014,690,180,25
1850015,244,45,5
2010114,0,0,0
2010137,769,465,22
2010245,1428,1004,46
2010452,1464,905,56
2010485,1409,686,39
2010486,1933,734,42
2010539,400,446,10
2010575,1047,1067,37
2010672,1166,676,33
2010735,140,127,3
2010788,2,1,0
2010851,1386,821,39
2010878,631,225,10
2010897,487,595,20
2010903,1201,456,16
2010915,0,0,0
2010916,1332,514,39
2010926,434,231,10
2010955,2794,1466,52
2010983,0,0,0
2010998,19,14,2
2250001,389,195,4
2250002,575,214,3
2250003,248,400,5
2250004,712,222,15
2250005,540,90,6
2250006,441,140,2
2250007,492,52,7
2250008,202,36,0
2250009,247,17,4
2250010,150,28,4
2250011,72,13,2
2250012,75,12,0
2250014,236,28,0
2250015,129,29,2
2250016,156,8,2
2250017,175,9,0
2250018,63,30,1
2250019,276,70,3
2250020,129,10,3
2250021,154,41,2
2250022,129,31,2
2890001,724,112,6
2890002,201,22,1
2890003,318,39,2
2890004,447,72,0
2890005,302,41,6
2890006,705,66,2
2890014,106,19,4
3130101,686,172,12
3130202,803,196,3
3130303,531,269,3
3130404,1026,95,14
3390001,590,331,23
3390002,840,282,20
3390003,1952,1022,51
3390004,672,445,31
3390005,176,20,1
3390006,1525,671,23
3390007,815,173,10
3390008,1426,189,21
3390009,893,156,9
3390010,265,657,17
3390011,769,188,22
3390012,634,209,16
3390013,2609,428,41
3390014,1430,577,37
3390015,2255,505,54
3390016,1416,223,28
3390017,1478,274,32
3390018A,2084,446,53
3390018B,1,0,0
3390019,1651,309,26
3390020,644,339,24
3390021,1315,514,24
3390022,2185,431,57
3390023,1235,440,16
3390024,1215,413,30
3390025,1243,217,24
3390026,648,192,21
3390027,1587,583,43
3390028,1515,245,24
3390029A,1829,308,43
3390029B,110,19,3
3390029C,198,33,3
3390030A,1993,304,29
3390030B,50,7,0
3390030C,101,16,2
3390030D,79,11,1
3390031,2052,784,59
3390032,920,646,43
3390033,1327,571,31
3390034,2156,727,66
3390035,1987,732,56
3390036,1106,283,22
3390037,913,309,21
3390038A,2648,402,43
3390038B,6,1,0
3390038C,46,7,1
3390038D,23,3,0
3390038E,1,0,0
3390038F,22,3,0
3390039,2359,330,45
3390040,2513,629,65
3390041,1494,204,20
3390042,320,40,8
3390043,2395,484,56
3390044,823,360,24
3390045,1272,446,39
3390046,2068,972,45
3390047,1213,805,59
3390048,1119,450,20
3390049,963,480,44
3390050,2041,322,26
3390051,603,371,24
3390052,1117,283,17
3390053,1660,389,32
3390054,507,150,6
3390055,390,111,19
3390056,1245,523,44
3390057,1289,248,28
3390058,1269,389,29
3390059,834,272,16
3390060,512,286,14
3390061,1954,1045,56
3390062,1222,557,45
3390063,2840,494,58
3390064,685,195,16
3390065,2402,403,36
3390066,1716,297,22
3390067,1028,570,43
3390068,1879,686,69
3390069,1784,872,34
3390070,1248,544,39
3390071,1897,810,61
3390072,2552,342,17
3390073,655,262,18
3390074,966,277,38
3390075,2388,1127,57
3390076,2282,418,53
3390077,2372,399,32
3390078,2214,887,44
3390079,813,400,34
3390080,2135,774,64
3390081,1750,741,45
3390082,2285,771,40
3390083,616,99,14
3390084,1125,921,50
3390085,1462,283,43
3390086,2789,461,49
3390087,1196,562,36
3390088A,2112,1144,60
3390088B,63,34,2
3390089A,2723,557,75
3390089B,33,7,1
3390089C,6,0,0
3390090,2420,426,41
3390090B,8,0,0
3390090C,13,1,0
3390091A,764,97,8
3390092,1497,896,40
3390093,1269,429,39
3390094,464,246,17
3390095,1151,738,35
3390096A,1467,758,46
3390096B,0,0,0
3390096C,76,40,2
4070001,1180,290,19
4070002,1320,298,13
4070003,552,117,14
4070004,398,25,7
4070005,869,115,20
4070006,989,198,10
4070007,910,287,13
4070008,466,116,9
4070010,290,42,10
4070013,304,56,3
4070014,256,96,5
4550001,281,58,3
4550002,331,41,3
4550003,190,38,3
4550004,123,19,3
4550005,94,26,0
4550006,120,11,0
4550007,133,13,0
4550008,212,26,0
4550009,303,42,3
4550010,142,22,1
4550011,698,147,15
4550012,53,10,0
4550014,266,49,2
4550015,54,6,0
4550016,178,53,0
4550017,266,155,2
4550018,41,43,0
4550019,551,102,6
4550020,28,12,0
4550021,143,25,2
4710101,92,150,5
4710102,1085,859,53
4710103,705,242,13
4710104,962,174,16
4710201,609,515,33
4710203,314,59,6
4710204,1032,401,25
4710205,1497,357,28
4710206,304,240,10
4710301,441,729,32
4710302,214,76,2
4710303,263,78,3
4710304,1552,367,32
4710401,505,751,50
4710403,649,183,27
4710404,1640,346,26
