School District,Total,Anglo,Black,Hisp,B+H,Other
Abbott ISD,1085,988,10,79,88,9
,277,255,5,17,21,1
Abernathy ISD,3446,1838,85,1506,1572,36
,1012,411,28,577,595,6
Abilene ISD,102294,63408,10567,26049,35687,3199
,24495,11074,3761,9534,12703,718
Academy ISD,5052,3899,211,825,1022,131
,1408,985,75,311,378,45
Adrian ISD,277,239,8,24,32,6
,56,41,6,7,13,2
Agua Dulce ISD,1537,455,23,1052,1067,15
,463,102,14,348,356,5
Alamo Heights ISD,28854,20067,515,7531,7972,815
,6606,3990,152,2266,2381,235
Alba-Golden ISD,5328,4807,37,368,403,118
,1173,993,20,134,153,27
Albany ISD,2589,2260,47,260,293,36
,675,543,27,104,123,9
Aldine ISD,264374,25436,75631,157884,230849,8089
,88385,3398,24857,59613,83150,1837
Aledo ISD,20374,18165,232,1562,1780,429
,6111,5242,97,633,724,145
Alice ISD,25647,3420,204,21872,21995,232
,7390,571,87,6728,6764,55
Alief ISD,256454,28209,75386,110039,182094,46151
,73063,3637,24093,37408,60087,9339
Allen ISD,81871,53432,7704,9321,16729,11710
,26297,15556,2964,3754,6540,4201
Alpine ISD,7698,4027,141,3403,3505,166
,1589,617,47,900,927,45
Alto ISD,3642,2220,812,573,1384,38
,927,433,239,238,476,18
Alvarado ISD,17609,13377,529,3366,3858,374
,4650,3036,211,1319,1507,107
Alvin ISD,86716,41293,10430,27289,37387,8036
,24893,8993,3408,10144,13349,2551
Alvord ISD,3641,3273,29,290,318,50
,931,795,14,109,123,13
Amarillo ISD,169532,96969,13935,51927,64724,7839
,46515,19049,5593,20351,25149,2317
Amherst ISD,966,447,51,451,496,23
,258,78,12,172,179,1
Anahuac ISD,6780,4055,1147,1425,2552,173
,1660,847,272,512,772,41
Anderson-Shiro Cons ISD,3360,2677,319,337,644,39
,765,552,73,134,201,12
Andrews ISD,14786,7083,285,7195,7436,267
,4312,1490,120,2653,2750,72
Angleton ISD,38880,19585,6979,11933,18697,598
,8706,3757,1221,3698,4810,139
Anna ISD,11187,8017,739,2150,2845,325
,3551,2243,321,905,1193,115
Anson ISD,3639,2424,100,1058,1147,68
,934,491,43,386,423,20
Anthony ISD,5176,974,484,3575,4018,184
,1042,71,30,951,965,6
Anton ISD,1460,780,59,617,666,14
,395,159,25,215,231,5
Apple Springs ISD,1168,983,136,35,171,14
,250,211,22,14,36,3
Aquilla ISD,1310,1138,37,126,157,15
,278,209,13,57,64,5
Aransas County ISD,21003,14935,354,5068,5351,717
,4042,2083,130,1733,1818,141
Aransas Pass ISD,11037,6369,354,4109,4398,270
,2666,1088,144,1429,1525,53
Archer City ISD,3018,2707,29,229,249,62
,727,605,18,95,107,15
Argyle ISD,7791,6975,49,609,655,161
,2323,2005,21,249,267,51
Arlington ISD,341332,149272,67653,98377,163384,28676
,92259,26932,22275,37428,58251,7076
Arp ISD,5354,4348,628,302,926,80
,1272,980,165,109,273,19
Aspermont ISD,1441,1174,45,196,240,27
,332,232,16,76,91,9
Athens ISD,22059,14658,2681,4432,7036,365
,5237,2612,804,1790,2539,86
Atlanta ISD,10518,7510,2482,380,2856,152
,2500,1555,726,166,890,55
Aubrey ISD,8772,7280,239,1068,1288,204
,2589,1952,117,470,574,63
Austin ISD,635666,314460,54475,232208,282045,39161
,136822,42700,14914,74438,87102,7020
Austwell-Tivoli ISD,850,313,13,518,527,10
,181,41,1,137,137,3
Avalon ISD,810,527,35,233,268,15
,208,111,12,82,94,3
Avery ISD,1612,1446,68,74,138,28
,358,318,7,29,33,7
Avinger ISD,1191,982,124,65,189,20
,217,145,37,33,70,2
Axtell ISD,3134,2619,111,359,467,48
,815,619,36,150,183,13
Azle ISD,36418,31494,383,3614,3951,973
